31,"I",372704,10013039824,"1110O000055251","MANN EGERTON VOLKSWAGON","",2005-07-07,,2010-11-11,2005-07-07
32,"I",372705,10013039824,"1110C000055251","CR08","AddressBase Premium Classification Scheme",1.0,2005-07-07,,2010-11-11,2005-07-07
21,"I",372706,10013039890,1,2,2009-06-16,,292582.00,094996.00,1,1110,2005-07-07,,2013-02-11,2005-07-07,"S","EX4 5HJ",0
23,"I",372707,10013039890,"1110X014242036","37632182",,"7666VC",2005-07-07,,2009-06-16,2005-07-07
23,"I",372708,10013039890,"1110X600055310","osgb4000000025321488",5,"7666MI",2005-07-07,,2009-06-16,2005-07-07
23,"I",372709,10013039890,"1110X700055310","osgb1000012325351",3,"7666MT",2005-07-07,,2009-06-16,2005-07-07
23,"I",372710,10013039890,"1110X900055310","osgb1000002274383093",4,"7666MA",2005-07-07,,2009-06-16,2005-07-07
24,"I",372711,10013039890,"1110L000151617","ENG",1,2005-07-07,,2009-06-16,2005-07-07,,"",,"","",1,"",,"","",14201310,"1","","","Y"
28,"I",372712,10013039890,,8785344,"","","","",1,"","VALLEY PARK CLOSE","","","EXETER","EX4 5HJ","S","","","","","","",2014-04-22,2005-07-07,,2009-06-16,2005-07-07
32,"I",372713,10013039890,"1110C000055310","RD","AddressBase Premium Classification Scheme",1.0,2005-07-07,,2009-06-16,2005-07-07
21,"I",372714,10013042172,1,,,100040233625,292648.00,093138.00,2,1110,2005-07-07,,2013-02-11,2005-07-07,"C","EX4 6RY",0
24,"I",372715,10013042172,"1110L000147039","ENG",1,2005-07-07,,2007-07-18,2005-07-07,,"",,"","FLAT 4",124,"",125,"","",14200757,"1","","",""
32,"I",372716,10013042172,"1110C000055367","UC","AddressBase Premium Classification Scheme",1.0,2005-07-07,,2007-07-19,2005-07-07
21,"I",372717,10013042247,1,,,100041142121,292203.00,092944.00,1,1110,2005-07-07,,2013-02-11,2005-07-07,"S","EX4 3QG",0
23,"I",372718,10013042247,"1110X000275590","280579182",,"7666VN",2013-09-07,,2013-09-07,2013-09-07
23,"I",372719,10013042247,"1110X600055428","osgb4000000025321248",3,"7666MI",2005-07-07,,2012-07-06,2005-07-07
23,"I",372720,10013042247,"1110X700055428","osgb1000012318110",4,"7666MT",2005-07-07,,2012-07-06,2005-07-07
23,"I",372721,10013042247,"1110X900055428","osgb1000002274378050",7,"7666MA",2005-07-07,,2014-01-16,2005-07-07
24,"I",372722,10013042247,"1110L000149175","ENG",1,2005-07-07,,2013-07-11,2005-07-07,,"",,"","FOURTH FLOOR",1,"",2,"","",14200595,"1","","",""
28,"I",372723,10013042247,100041142121,8781132,"OVAL INSURANCE","","","1-2",,"","NORTHERNHAY PLACE","","","EXETER","EX4 3QG","S","","","","","","",2014-04-22,2005-07-07,,2012-07-06,2005-07-07
32,"I",372724,10013042247,"1110C000055428","CR01","AddressBase Premium Classification Scheme",1.0,2005-07-07,,2013-11-28,2005-07-07
21,"I",372725,10013042248,1,,,100041142121,292203.00,092944.00,2,1110,2005-07-07,,2013-02-11,2005-07-07,"S","EX4 3QH",0
23,"I",372726,10013042248,"1110X000275593","6682833000",,"7666VN",2005-07-07,,2013-09-07,2005-07-07
23,"I",372727,10013042248,"1110X600055429","osgb4000000025321248",3,"7666MI",2005-07-07,,2007-07-19,2005-07-07
23,"I",372728,10013042248,"1110X700055429","osgb1000012318110",4,"7666MT",2005-07-07,,2007-07-19,2005-07-07
23,"I",372729,10013042248,"1110X900055429","osgb1000002274378052",7,"7666MA",2005-07-07,,2013-10-19,2005-07-07
24,"I",372730,10013042248,"1110L000149176","ENG",1,2005-07-07,,2007-07-18,2005-07-07,,"",,"","YOUR MOVE",1,"",2,"","",14200595,"1","","",""
28,"I",372731,10013042248,100041142121,8781133,"YOUR MOVE","","","1-2",,"","NORTHERNHAY PLACE","","","EXETER","EX4 3QH","L","","","","","","",2014-04-22,2005-07-07,,2007-07-19,2005-07-07
32,"I",372732,10013042248,"1110C000055429","CR02","AddressBase Premium Classification Scheme",1.0,2005-07-07,,2013-11-28,2005-07-07
21,"I",372733,10013044530,1,2,2011-07-12,,293669.00,093629.00,1,1110,2005-11-18,,2013-02-11,2005-11-18,"S","EX4 7BS",0
23,"I",372734,10013044530,"1110X014184495","4680855000",,"7666VC",2005-11-18,,2011-07-12,2005-11-18
23,"I",372735,10013044530,"1110X600055527","osgb4000000025466645",1,"7666MI",2005-11-18,,2011-07-12,2005-11-18
23,"I",372736,10013044530,"1110X700055527","osgb1000002070666114",1,"7666MT",2005-11-18,,2011-07-12,2005-11-18
23,"I",372737,10013044530,"1110X900055527","osgb1000002274458177",15,"7666MA",2005-11-18,,2011-07-12,2005-11-18
24,"I",372738,10013044530,"1110L000154329","ENG",1,2005-11-18,,2005-11-24,2005-11-18,,"",,"","",35,"",,"","",14202735,"1","","","N"
28,"I",372739,10013044530,,27898353,"","","","",35,"","GREYFRIARS ROAD","","","EXETER","EX4 7BS","S","","","","","","",2014-04-22,2005-11-18,,2011-07-12,2005-11-18
32,"I",372740,10013044530,"1110C000055527","RD","AddressBase Premium Classification Scheme",1.0,2005-11-18,,2011-07-12,2005-11-18
21,"I",372741,10013044531,1,2,2011-07-12,,293668.00,093638.00,1,1110,2005-11-18,,2013-02-11,2005-11-18,"S","EX4 7BS",0
23,"I",372742,10013044531,"1110X014184504","4665150000",,"7666VC",2005-11-18,,2011-07-12,2005-11-18
23,"I",372743,10013044531,"1110X600055528","osgb4000000025466645",1,"7666MI",2005-11-18,,2011-07-12,2005-11-18
23,"I",372744,10013044531,"1110X700055528","osgb1000002070666115",1,"7666MT",2005-11-18,,2011-07-12,2005-11-18
23,"I",372745,10013044531,"1110X900055528","osgb1000002274458167",15,"7666MA",2005-11-18,,2011-07-12,2005-11-18
24,"I",372746,10013044531,"1110L000154330","ENG",1,2005-11-18,,2005-11-24,2005-11-18,,"",,"","",36,"",,"","",14202735,"1","","","N"
28,"I",372747,10013044531,,27898354,"","","","",36,"","GREYFRIARS ROAD","","","EXETER","EX4 7BS","S","","","","","","",2014-04-22,2005-11-18,,2011-07-12,2005-11-18
32,"I",372748,10013044531,"1110C000055528","RD","AddressBase Premium Classification Scheme",1.0,2005-11-18,,2011-07-12,2005-11-18
21,"I",372749,10013044554,1,2,2011-07-12,,293778.00,093582.00,1,1110,2005-11-18,,2013-02-11,2005-11-18,"S","EX4 7BS",0
23,"I",372750,10013044554,"1110X014184512","3931618000",,"7666VC",2005-11-18,,2011-07-12,2005-11-18
23,"I",372751,10013044554,"1110X600055551","osgb4000000025424884",3,"7666MI",2005-11-18,,2011-07-12,2005-11-18
23,"I",372752,10013044554,"1110X700055551","osgb1000002070619101",2,"7666MT",2005-11-18,,2011-07-12,2005-11-18
23,"I",372753,10013044554,"1110X900055551","osgb1000002274457785",15,"7666MA",2005-11-18,,2011-07-12,2005-11-18
24,"I",372754,10013044554,"1110L000154353","ENG",1,2005-11-18,,2005-11-18,2005-11-18,,"",,"","",54,"",,"","",14202735,"1","","","N"
28,"I",372755,10013044554,,27885810,"","","","",54,"","GREYFRIARS ROAD","","","EXETER","EX4 7BS","S","","","","","","",2014-04-22,2005-11-18,,2011-07-12,2005-11-18
32,"I",372756,10013044554,"1110C000055551","RD","AddressBase Premium Classification Scheme",1.0,2005-11-18,,2011-07-12,2005-11-18
21,"I",372757,10013047614,1,3,2011-07-12,10013045825,293950.00,091774.00,1,1110,2006-04-05,,2012-04-03,2006-04-05,"S","EX2 5DS",0
23,"I",372758,10013047614,"1110X014249379","251952182",,"7666VC",2006-04-05,,2012-04-03,2006-04-05
23,"I",372759,10013047614,"1110X600055607","osgb4000000025306082",6,"7666MI",2006-04-05,,2012-04-03,2006-04-05
