28, I , 10092            , 10024022773  ,NULL,17321462, PACK & SEND LTD ,NULL,NULL,NULL,13,NULL, BANK PLAIN ,NULL,NULL, NORWICH , NR2 4SF  , S ,NULL,NULL,NULL,NULL,NULL,NULL, 24.03.2014 , 04.04.2014 , 04.04.2014 , 04.04.2014 , 04.04.2014 
28, I , 10094            , 100091560749 ,NULL,17326363, OLIVES ,NULL,NULL,NULL,40,NULL, ELM HILL ,NULL,NULL, NORWICH , NR3 1HG  , S ,NULL,NULL,NULL,NULL,NULL,NULL, 24.03.2014 , 04.04.2014 , 04.04.2014 , 04.04.2014 , 04.04.2014 
28, I , 185963           , 134005442    , 134015273    ,12311746,NULL,NULL,NULL, 2 COASTGUARD HOUSES ,NULL,NULL, CROMWELL ROAD ,NULL,NULL, KIRKWALL , KW15 1LN , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 20.05.2010 , 30.10.2006 
28, I , 185970           , 134009782    , 134015273    ,12311747,NULL,NULL,NULL, 3 COASTGUARD HOUSES ,NULL,NULL, CROMWELL ROAD ,NULL,NULL, KIRKWALL , KW15 1LN , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 20.05.2010 , 30.10.2006 
28, I , 185983           , 134007067    , 134015368    ,12317900,NULL,NULL,NULL, 1 COUNCIL HOUSE ,NULL,NULL,NULL,NULL, HARRAY , ORKNEY , KW17 2JS , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 25.11.2010 , 30.10.2006 
28, I , 185990           , 134007068    , 134015368    ,12317901,NULL,NULL,NULL, 2 COUNCIL HOUSE ,NULL,NULL,NULL,NULL, HARRAY , ORKNEY , KW17 2JS , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 25.11.2010 , 30.10.2006 
28, I , 185997           , 134009238    , 134015369    ,12315142,NULL,NULL,NULL, 1 SUNNYBANK DRIVE ,NULL,NULL,NULL,NULL,NULL, STROMNESS , KW16 3HS , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 29.11.2010 , 30.10.2006 
28, I , 186004           , 134009241    , 134015369    ,12315144,NULL,NULL,NULL, 2 SUNNYBANK DRIVE ,NULL,NULL,NULL,NULL,NULL, STROMNESS , KW16 3HS , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 29.11.2010 , 30.10.2006 
28, I , 186011           , 134009282    , 134015369    ,12315147,NULL,NULL,NULL, 4 SUNNYBANK DRIVE ,NULL,NULL,NULL,NULL,NULL, STROMNESS , KW16 3HS , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 29.11.2010 , 30.10.2006 
28, I , 186018           , 134009442    , 134015369    ,12315149,NULL,NULL,NULL, 6 SUNNYBANK DRIVE ,NULL,NULL,NULL,NULL,NULL, STROMNESS , KW16 3HS , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 29.11.2010 , 30.10.2006 
28, I , 186025           , 134009473    , 134015369    ,50981243,NULL,NULL,NULL, 7 SUNNYBANK DRIVE ,NULL,NULL,NULL,NULL,NULL, STROMNESS , KW16 3HS , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 29.11.2010 , 30.10.2006 
28, I , 186032           , 134010551    , 134015372    ,12319498,NULL,NULL,NULL, 1 COMMODORE CHALETS ,NULL,NULL,NULL,NULL, HOLM , ORKNEY , KW17 2RU , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 20.12.2010 , 30.10.2006 
28, I , 186039           , 134014596    , 134015372    ,12319509,NULL,NULL,NULL, 3 COMMODORE CHALETS ,NULL,NULL,NULL,NULL, HOLM , ORKNEY , KW17 2RU , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 28.11.2008 ,NULL, 20.12.2010 , 28.11.2008 
28, I , 186046           , 134014598    , 134015372    ,12319511,NULL,NULL,NULL, 5 COMMODORE CHALETS ,NULL,NULL,NULL,NULL, HOLM , ORKNEY , KW17 2RU , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 28.11.2008 ,NULL, 20.12.2010 , 28.11.2008 
